CO2,b-1,b-2,b-3
0,0,0,0
0.003954259,0,0,0
0.013918459,0.003954259,0,0
-0.006054402,0.013918459,0.003954259,0
0.011680824,-0.006054402,0.013918459,0.003954259
-0.000478544,0.011680824,-0.006054402,0.013918459
9.58E-05,-0.000478544,0.011680824,-0.006054402
0.004082237,9.57546E-05,-0.000478544,0.011680824
-0.002054492,0.004082237,9.57546E-05,-0.000478544
-0.001798124,-0.002054492,0.004082237,9.57546E-05
-0.009903144,-0.001798124,-0.002054492,0.004082237
0.016963305,-0.009903144,-0.001798124,-0.002054492
0.007424053,0.016963305,-0.009903144,-0.001798124
-0.000377475,0.007424053,0.016963305,-0.009903144
0.00402506,-0.000377475,0.007424053,0.016963305
-0.002863517,0.00402506,-0.000377475,0.007424053
0.001911636,-0.002863517,0.00402506,-0.000377475
0.011627609,0.001911636,-0.002863517,0.00402506
-0.000304476,0.011627609,0.001911636,-0.002863517
0.003384095,-0.000304476,0.011627609,0.001911636
-0.003448567,0.003384095,-0.000304476,0.011627609
-0.005110372,-0.003448567,0.003384095,-0.000304476
0.00995008,-0.005110372,-0.003448567,0.003384095
-0.00922893,0.00995008,-0.005110372,-0.003448567
-0.004946414,-0.00922893,0.00995008,-0.005110372
0.002963811,-0.004946414,-0.00922893,0.00995008
-0.001115596,0.002963811,-0.004946414,-0.00922893
-0.006223624,-0.001115596,0.002963811,-0.004946414
0.015047398,-0.006223624,-0.001115596,0.002963811
-0.011392929,0.015047398,-0.006223624,-0.001115596
-0.000863462,-0.011392929,0.015047398,-0.006223624
0.001762642,-0.000863462,-0.011392929,0.015047398
-0.003416584,0.001762642,-0.000863462,-0.011392929
0.005853817,-0.003416584,0.001762642,-0.000863462
0.001900153,0.005853817,-0.003416584,0.001762642
0.008657788,0.001900153,0.005853817,-0.003416584
0.000202361,0.008657788,0.001900153,0.005853817
-0.002596439,0.000202361,0.008657788,0.001900153
-0.003989317,-0.002596439,0.000202361,0.008657788
-0.009113744,-0.003989317,-0.002596439,0.000202361
0.003082984,-0.009113744,-0.003989317,-0.002596439
-0.009562025,0.003082984,-0.009113744,-0.003989317
-0.000474097,-0.009562025,0.003082984,-0.009113744
-0.005010564,-0.000474097,-0.009562025,0.003082984
-0.002218871,-0.005010564,-0.000474097,-0.009562025
0.002267239,-0.002218871,-0.005010564,-0.000474097
-0.010695187,0.002267239,-0.002218871,-0.005010564
0.000692102,-0.010695187,0.002267239,-0.002218871
0.000122566,0.000692102,-0.010695187,0.002267239
0.007405592,0.000122566,0.000692102,-0.010695187
0.004040527,0.007405592,0.000122566,0.000692102
-0.001765485,0.004040527,0.007405592,0.000122566
-0.004161429,-0.001765485,0.004040527,0.007405592
-2.61E-05,-0.004161429,-0.001765485,0.004040527
-0.000539778,-2.61176E-05,-0.004161429,-0.001765485
-0.014137631,-0.000539778,-2.61176E-05,-0.004161429
-0.0006185,-0.014137631,-0.000539778,-2.61176E-05
0.002670038,-0.0006185,-0.014137631,-0.000539778
0.003509422,0.002670038,-0.0006185,-0.014137631
-0.007442424,0.003509422,0.002670038,-0.0006185
-0.000849858,-0.007442424,0.003509422,0.002670038
-0.001391055,-0.000849858,-0.007442424,0.003509422
-0.008269229,-0.001391055,-0.000849858,-0.007442424
0.002451353,-0.008269229,-0.001391055,-0.000849858
-0.000660425,0.002451353,-0.008269229,-0.001391055
0.006617549,-0.000660425,0.002451353,-0.008269229
-0.000896057,0.006617549,-0.000660425,0.002451353
