Local time,Open,High,Low,Close,Volume,Next Open
2003-05-04,340.345,342.588,339.734,341.887,5662131.0209,341.485
2003-05-05,341.485,344.208,340.276,342.367,6868005.0076,342.651
2003-05-06,342.651,344.185,339.005,341.162,6202246.931600001,341.385
2003-05-07,341.385,348.054,339.956,347.732,6143151.054299999,347.801
2003-05-08,347.801,348.577,345.820,347.924,5786561.008499999,347.924
2003-05-09,347.924,347.924,347.924,347.924,0,348.163
2003-05-11,348.163,351.576,347.725,350.399,9494091.950299999,350.394
2003-05-12,350.394,351.265,348.541,349.128,11401464.128799997,348.995
2003-05-13,348.995,353.950,347.405,352.190,10366989.9367,351.962
2003-05-14,351.962,355.217,350.208,351.566,10309325.847800002,351.209
2003-05-15,351.209,355.068,350.493,353.900,9962568.989199998,353.900
2003-05-16,353.900,353.900,353.900,353.900,0,355.645
2003-05-18,355.645,364.111,354.725,363.561,5587505.043300001,364.011
2003-05-19,364.011,369.295,363.296,367.640,6602186.032200001,367.895
2003-05-20,367.895,371.995,362.754,371.495,6089834.0007,371.543
2003-05-21,371.543,371.798,367.434,367.728,6085630.049800001,367.653
2003-05-22,367.653,370.195,364.748,367.465,5558346.954999999,367.465
2003-05-23,367.465,367.465,367.465,367.465,0,367.936
2003-05-25,367.936,370.485,367.535,369.973,5372714.037,369.962
2003-05-26,369.962,374.195,365.804,366.461,6615071.983999999,365.361
2003-05-27,365.361,366.595,357.995,364.393,6109475.014899999,364.146
2003-05-28,364.146,365.004,359.595,364.577,6023125.0469,364.735
2003-05-29,364.735,368.795,363.004,363.740,5870550.040100001,363.740
2003-05-30,363.740,363.740,363.740,363.740,0,362.452
2003-06-01,362.452,366.242,359.550,365.437,5562362.9911,365.315
2003-06-02,365.315,366.936,363.913,364.937,6745268.0644,364.792
2003-06-03,364.792,365.339,360.358,360.702,6060491.0272,360.959
2003-06-04,360.959,367.397,360.236,366.827,6202228.005199999,366.984
2003-06-05,366.984,368.298,361.498,363.118,5733897.972999999,363.118
2003-06-06,363.118,363.118,363.118,363.118,0,362.805
2003-06-08,362.805,365.189,360.355,360.948,5531986.9789,360.850
2003-06-09,360.850,361.571,351.079,351.411,6772905.9652,351.539
2003-06-10,351.539,355.766,351.073,354.119,6205072.989800001,354.167
2003-06-11,354.167,355.115,350.336,352.725,6255424.9354,352.674
2003-06-12,352.674,356.103,351.439,355.696,5912717.9328000005,355.696
2003-06-13,355.696,355.696,355.696,355.696,0,355.998
2003-06-15,355.998,360.304,355.558,358.413,5618973.9864,358.333
2003-06-16,358.333,362.870,358.105,362.795,6762011.8856999995,362.603
2003-06-17,362.603,363.866,356.181,356.499,6109713.0019,356.736
2003-06-18,356.736,360.973,353.944,360.911,6245958.013300001,360.573
2003-06-19,360.573,362.079,355.470,355.765,5708481.965700001,355.765
2003-06-20,355.765,355.765,355.765,355.765,0,355.890
2003-06-22,355.890,357.169,351.669,351.783,5489202.942799999,351.914
2003-06-23,351.914,354.264,345.343,345.675,6579820.020300001,345.443
2003-06-24,345.443,348.778,345.441,347.811,6107330.0047,347.701
2003-06-25,347.701,348.271,342.713,343.079,6101867.0131,343.003
2003-06-26,343.003,345.690,341.693,344.612,6020777.900800001,344.612
2003-06-27,344.612,344.612,344.612,344.612,0,344.325
2003-06-29,344.325,347.414,343.428,345.245,5634856.1378999995,345.490
2003-06-30,345.490,351.056,344.350,350.487,6727009.946500001,350.255
2003-07-01,350.255,352.296,349.081,350.259,5994831.994100001,350.257
2003-07-02,350.257,350.966,348.571,350.098,5830094.0713,350.026
