Local time,Open
5/4/2003,1.12284
5/5/2003,1.12728
5/6/2003,1.14297
5/7/2003,1.13605
5/8/2003,1.14932
5/9/2003,1.14877
5/11/2003,1.14888
5/12/2003,1.15357
5/13/2003,1.1512
5/14/2003,1.14913
5/15/2003,1.13775
5/16/2003,1.15705
5/18/2003,1.16564
5/19/2003,1.1652
5/20/2003,1.16989
5/21/2003,1.16654
5/22/2003,1.16877
5/23/2003,1.18236
5/25/2003,1.182
5/26/2003,1.186
5/27/2003,1.18191
5/28/2003,1.17587
5/29/2003,1.18757
5/30/2003,1.17661
6/1/2003,1.17079
6/2/2003,1.17426
6/3/2003,1.17295
6/4/2003,1.16565
6/5/2003,1.18319
6/6/2003,1.16971
6/8/2003,1.1687
6/9/2003,1.17076
6/10/2003,1.16676
6/11/2003,1.17359
6/12/2003,1.17582
6/13/2003,1.186
6/15/2003,1.18624
6/16/2003,1.18316
6/17/2003,1.17844
6/18/2003,1.1677
6/19/2003,1.1713
6/20/2003,1.1601
6/22/2003,1.15955
6/23/2003,1.15374
6/24/2003,1.15118
6/25/2003,1.15379
6/26/2003,1.14145
6/27/2003,1.14224
6/29/2003,1.14238
6/30/2003,1.15084
7/1/2003,1.15549
7/2/2003,1.15345
7/3/2003,1.14865
7/4/2003,1.14862
7/6/2003,1.148
7/7/2003,1.13177
7/8/2003,1.13107
7/9/2003,1.13409
7/10/2003,1.13807
7/11/2003,1.1296
7/13/2003,1.12864
7/14/2003,1.12707
7/15/2003,1.11775
7/16/2003,1.12049
7/17/2003,1.11975
7/18/2003,1.12716
7/20/2003,1.12615
7/21/2003,1.13391
7/22/2003,1.13197
7/23/2003,1.14765
7/24/2003,1.14679
7/25/2003,1.15049
7/27/2003,1.15014
7/28/2003,1.14877
7/29/2003,1.14502
7/30/2003,1.13367
7/31/2003,1.1235
8/1/2003,1.12531
8/3/2003,1.12773
8/4/2003,1.13543
8/5/2003,1.13797
8/6/2003,1.13245
8/7/2003,1.13646
8/8/2003,1.13053
8/10/2003,1.12882
8/11/2003,1.13518
8/12/2003,1.12767
8/13/2003,1.13163
8/14/2003,1.12565
8/15/2003,1.12633
8/17/2003,1.1242
8/18/2003,1.11415
8/19/2003,1.1131
8/20/2003,1.11123
8/21/2003,1.09133
8/22/2003,1.08731
8/24/2003,1.08496
8/25/2003,1.0867
8/26/2003,1.08474
8/27/2003,1.08786
8/28/2003,1.08773
8/29/2003,1.09817
8/31/2003,1.09873
9/1/2003,1.09598
9/2/2003,1.08047
9/3/2003,1.08425
9/4/2003,1.09374
9/5/2003,1.11019
9/7/2003,1.10973
9/8/2003,1.10625
9/9/2003,1.12169
